library,gemgroup,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,bam,bam_index,barcodes,features,matrix
KD8_p1_0,1,KD8_seq1_p1_mRNA_0_S1_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_0_S1_L004_R2_001.fastq.gz,KD8_seq1_p1_mRNA_0_S1_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_0_S1_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_0_S1_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_0_S1_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_0_S1_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_0_S1_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_0_S1_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_0_S1_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_0_S1_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_0_S1_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_0_S1_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_0_S1_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_0_S1_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_0_S1_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_0_S1_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_0_S1_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_0_S1_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_0_S1_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_0_S1_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_0_S1_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_0_S1_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_0_S1_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_0_S1_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_0_S1_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_0_S1_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_0_S1_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_0_S1_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_0_S1_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_0_S1_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_0_S1_L004_R2_001.fastq.gz,KD8_p1_0_possorted_genome_bam.bam,KD8_p1_0_possorted_genome_bam.bam.bai,KD8_p1_0_barcodes.tsv.gz,KD8_p1_0_features.tsv.gz,KD8_p1_0_matrix.mtx.gz
KD8_p1_1,12,KD8_seq1_p1_mRNA_1_S2_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_1_S2_L004_R2_001.fastq.gz,KD8_seq1_p1_mRNA_1_S2_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_1_S2_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_1_S2_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_1_S2_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_1_S2_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_1_S2_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_1_S2_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_1_S2_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_1_S2_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_1_S2_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_1_S2_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_1_S2_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_1_S2_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_1_S2_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_1_S2_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_1_S2_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_1_S2_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_1_S2_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_1_S2_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_1_S2_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_1_S2_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_1_S2_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_1_S2_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_1_S2_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_1_S2_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_1_S2_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_1_S2_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_1_S2_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_1_S2_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_1_S2_L004_R2_001.fastq.gz,KD8_p1_1_possorted_genome_bam.bam,KD8_p1_1_possorted_genome_bam.bam.bai,KD8_p1_1_barcodes.tsv.gz,KD8_p1_1_features.tsv.gz,KD8_p1_1_matrix.mtx.gz
KD8_p1_2,22,KD8_seq1_p1_mRNA_2_S3_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_2_S3_L004_R2_001.fastq.gz,KD8_seq1_p1_mRNA_2_S3_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_2_S3_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_2_S3_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_2_S3_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_2_S3_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_2_S3_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_2_S3_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_2_S3_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_2_S3_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_2_S3_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_2_S3_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_2_S3_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_2_S3_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_2_S3_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_2_S3_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_2_S3_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_2_S3_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_2_S3_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_2_S3_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_2_S3_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_2_S3_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_2_S3_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_2_S3_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_2_S3_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_2_S3_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_2_S3_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_2_S3_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_2_S3_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_2_S3_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_2_S3_L004_R2_001.fastq.gz,KD8_p1_2_possorted_genome_bam.bam,KD8_p1_2_possorted_genome_bam.bam.bai,KD8_p1_2_barcodes.tsv.gz,KD8_p1_2_features.tsv.gz,KD8_p1_2_matrix.mtx.gz
KD8_p1_3,33,KD8_seq1_p1_mRNA_3_S4_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_3_S4_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_3_S4_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_3_S4_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_3_S4_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_3_S4_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_3_S4_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_3_S4_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_3_S4_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_3_S4_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_3_S4_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_3_S4_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_3_S4_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_3_S4_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_3_S4_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_3_S4_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_3_S4_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_3_S4_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_3_S4_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_3_S4_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_3_S4_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_3_S4_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_3_S4_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_3_S4_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_3_S4_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_3_S4_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_3_S4_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_3_S4_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_3_S4_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_3_S4_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_3_S4_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_3_S4_L003_R2_001.fastq.gz,KD8_p1_3_possorted_genome_bam.bam,KD8_p1_3_possorted_genome_bam.bam.bai,KD8_p1_3_barcodes.tsv.gz,KD8_p1_3_features.tsv.gz,KD8_p1_3_matrix.mtx.gz
KD8_p1_4,43,KD8_seq1_p1_mRNA_4_S5_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_4_S5_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_4_S5_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_4_S5_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_4_S5_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_4_S5_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_4_S5_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_4_S5_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_4_S5_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_4_S5_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_4_S5_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_4_S5_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_4_S5_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_4_S5_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_4_S5_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_4_S5_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_4_S5_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_4_S5_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_4_S5_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_4_S5_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_4_S5_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_4_S5_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_4_S5_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_4_S5_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_4_S5_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_4_S5_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_4_S5_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_4_S5_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_4_S5_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_4_S5_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_4_S5_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_4_S5_L002_R2_001.fastq.gz,KD8_p1_4_possorted_genome_bam.bam,KD8_p1_4_possorted_genome_bam.bam.bai,KD8_p1_4_barcodes.tsv.gz,KD8_p1_4_features.tsv.gz,KD8_p1_4_matrix.mtx.gz
KD8_p1_5,54,KD8_seq1_p1_mRNA_5_S6_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_5_S6_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_5_S6_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_5_S6_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_5_S6_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_5_S6_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_5_S6_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_5_S6_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_5_S6_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_5_S6_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_5_S6_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_5_S6_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_5_S6_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_5_S6_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_5_S6_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_5_S6_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_5_S6_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_5_S6_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_5_S6_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_5_S6_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_5_S6_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_5_S6_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_5_S6_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_5_S6_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_5_S6_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_5_S6_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_5_S6_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_5_S6_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_5_S6_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_5_S6_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_5_S6_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_5_S6_L001_R2_001.fastq.gz,KD8_p1_5_possorted_genome_bam.bam,KD8_p1_5_possorted_genome_bam.bam.bai,KD8_p1_5_barcodes.tsv.gz,KD8_p1_5_features.tsv.gz,KD8_p1_5_matrix.mtx.gz
KD8_p1_6,64,KD8_seq1_p1_mRNA_6_S7_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_6_S7_L004_R2_001.fastq.gz,KD8_seq1_p1_mRNA_6_S7_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_6_S7_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_6_S7_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_6_S7_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_6_S7_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_6_S7_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_6_S7_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_6_S7_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_6_S7_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_6_S7_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_6_S7_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_6_S7_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_6_S7_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_6_S7_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_6_S7_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_6_S7_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_6_S7_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_6_S7_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_6_S7_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_6_S7_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_6_S7_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_6_S7_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_6_S7_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_6_S7_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_6_S7_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_6_S7_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_6_S7_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_6_S7_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_6_S7_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_6_S7_L004_R2_001.fastq.gz,KD8_p1_6_possorted_genome_bam.bam,KD8_p1_6_possorted_genome_bam.bam.bai,KD8_p1_6_barcodes.tsv.gz,KD8_p1_6_features.tsv.gz,KD8_p1_6_matrix.mtx.gz
KD8_p1_7,75,KD8_seq1_p1_mRNA_7_S8_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_7_S8_L004_R2_001.fastq.gz,KD8_seq1_p1_mRNA_7_S8_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_7_S8_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_7_S8_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_7_S8_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_7_S8_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_7_S8_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_7_S8_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_7_S8_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_7_S8_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_7_S8_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_7_S8_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_7_S8_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_7_S8_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_7_S8_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_7_S8_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_7_S8_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_7_S8_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_7_S8_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_7_S8_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_7_S8_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_7_S8_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_7_S8_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_7_S8_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_7_S8_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_7_S8_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_7_S8_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_7_S8_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_7_S8_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_7_S8_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_7_S8_L004_R2_001.fastq.gz,KD8_p1_7_possorted_genome_bam.bam,KD8_p1_7_possorted_genome_bam.bam.bai,KD8_p1_7_barcodes.tsv.gz,KD8_p1_7_features.tsv.gz,KD8_p1_7_matrix.mtx.gz
KD8_p1_8,85,KD8_seq1_p1_mRNA_8_S9_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_8_S9_L004_R2_001.fastq.gz,KD8_seq1_p1_mRNA_8_S9_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_8_S9_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_8_S9_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_8_S9_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_8_S9_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_8_S9_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_8_S9_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_8_S9_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_8_S9_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_8_S9_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_8_S9_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_8_S9_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_8_S9_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_8_S9_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_8_S9_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_8_S9_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_8_S9_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_8_S9_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_8_S9_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_8_S9_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_8_S9_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_8_S9_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_8_S9_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_8_S9_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_8_S9_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_8_S9_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_8_S9_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_8_S9_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_8_S9_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_8_S9_L004_R2_001.fastq.gz,KD8_p1_8_possorted_genome_bam.bam,KD8_p1_8_possorted_genome_bam.bam.bai,KD8_p1_8_barcodes.tsv.gz,KD8_p1_8_features.tsv.gz,KD8_p1_8_matrix.mtx.gz
KD8_p1_9,91,KD8_seq1_p1_mRNA_9_S10_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_9_S10_L004_R2_001.fastq.gz,KD8_seq1_p1_mRNA_9_S10_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_9_S10_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_9_S10_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_9_S10_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_9_S10_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_9_S10_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_9_S10_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_9_S10_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_9_S10_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_9_S10_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_9_S10_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_9_S10_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_9_S10_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_9_S10_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_9_S10_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_9_S10_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_9_S10_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_9_S10_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_9_S10_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_9_S10_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_9_S10_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_9_S10_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_9_S10_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_9_S10_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_9_S10_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_9_S10_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_9_S10_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_9_S10_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_9_S10_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_9_S10_L004_R2_001.fastq.gz,KD8_p1_9_possorted_genome_bam.bam,KD8_p1_9_possorted_genome_bam.bam.bai,KD8_p1_9_barcodes.tsv.gz,KD8_p1_9_features.tsv.gz,KD8_p1_9_matrix.mtx.gz
