Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Tissue,AssemblyName
SRR19653086,day 8,OTHER,98,72805213516,ATCC,PRJNA831566,SAMN28561242,Human,16684554544,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15703134,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_85,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653087,day 8,OTHER,98,63535754450,ATCC,PRJNA831566,SAMN28561242,Human,15064978561,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX15703133,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_84,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653088,day 8,OTHER,98,40060591508,ATCC,PRJNA831566,SAMN28561242,Human,9146362815,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX15703132,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_83,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653089,day 8,OTHER,98,52427981200,ATCC,PRJNA831566,SAMN28561242,Human,12676117038,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs","s3.us-east-1,gs.US",SRX15703131,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_8,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653090,day 8,OTHER,98,36736961884,ATCC,PRJNA831566,SAMN28561242,Human,8442997065,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX15703130,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_82,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653091,day 8,OTHER,98,51062843748,ATCC,PRJNA831566,SAMN28561242,Human,11771376339,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX15703129,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_81,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653092,day 8,OTHER,98,44113807612,ATCC,PRJNA831566,SAMN28561242,Human,10459487378,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX15703128,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_80,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653095,day 8,OTHER,98,47823175526,ATCC,PRJNA831566,SAMN28561242,Human,10777267528,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs","gs.US,s3.us-east-1",SRX15703125,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_77,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653097,day 8,OTHER,98,35716684864,ATCC,PRJNA831566,SAMN28561242,Human,8125303097,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs","s3.us-east-1,gs.US",SRX15703123,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_75,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653098,day 8,OTHER,98,33517754592,ATCC,PRJNA831566,SAMN28561242,Human,8004088682,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","gs,s3","gs.US,s3.us-east-1",SRX15703122,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_74,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
