gene_id,gene_name,cluster_id
ENSG00000001631.17,KRIT1,1
ENSG00000003402.21,CFLAR,9
ENSG00000004142.12,POLDIP2,12
ENSG00000004455.17,AK2,11
ENSG00000005007.13,UPF1,3
ENSG00000005156.12,LIG3,12
ENSG00000005175.10,RPAP3,9
ENSG00000005194.15,CIAPIN1,12
ENSG00000005206.17,SPPL2B,13
ENSG00000005249.13,PRKAR2B,18
ENSG00000005810.19,MYCBP2,13
ENSG00000006007.12,GDE1,13
ENSG00000006125.18,AP2B1,3
ENSG00000006451.8,RALA,2
ENSG00000006831.10,ADIPOR2,13
ENSG00000007944.15,MYLIP,13
ENSG00000008083.14,JARID2,13
ENSG00000008282.9,SYPL1,7
ENSG00000008283.16,CYB561,13
ENSG00000008952.17,SEC62,1
ENSG00000008988.11,RPS20,9
ENSG00000009307.17,CSDE1,5
ENSG00000009765.15,IYD,13
ENSG00000009844.16,VTA1,1
ENSG00000009954.11,BAZ1B,12
ENSG00000010244.19,ZNF207,13
ENSG00000010270.14,STARD3NL,2
ENSG00000011007.13,ELOA,14
ENSG00000012048.23,BRCA1,13
ENSG00000012061.16,ERCC1,14
ENSG00000012232.9,EXTL3,14
ENSG00000013523.11,ANGEL1,14
ENSG00000013561.18,RNF14,14
ENSG00000014919.13,COX15,13
ENSG00000018189.13,RUFY3,1
ENSG00000020922.13,MRE11,14
ENSG00000021355.13,SERPINB1,1
ENSG00000023318.9,ERP44,3
ENSG00000023697.13,DERA,13
ENSG00000023909.10,GCLM,14
ENSG00000025293.17,PHF20,9
ENSG00000025800.14,KPNA6,2
ENSG00000029363.17,BCLAF1,12
ENSG00000029534.21,ANK1,13
ENSG00000029725.17,RABEP1,12
ENSG00000029993.15,HMGB3,9
ENSG00000031081.11,ARHGAP31,13
ENSG00000033011.14,ALG1,4
ENSG00000033050.9,ABCF2,4
ENSG00000035141.8,FAM136A,7
ENSG00000035403.18,VCL,13
ENSG00000035499.13,DEPDC1B,13
ENSG00000035687.10,ADSS2,3
ENSG00000035928.17,RFC1,1
ENSG00000036054.13,TBC1D23,9
ENSG00000037757.14,MRI1,9
ENSG00000039123.16,MTREX,9
ENSG00000040341.18,STAU2,13
ENSG00000040633.13,PHF23,9
ENSG00000042493.16,CAPG,6
ENSG00000043093.15,DCUN1D1,1
ENSG00000043514.17,TRIT1,9
ENSG00000044115.21,CTNNA1,13
ENSG00000044574.9,HSPA5,12
ENSG00000046604.14,DSG2,13
ENSG00000047849.22,MAP4,1
ENSG00000048544.6,MRPS10,4
ENSG00000048649.14,RSF1,9
ENSG00000048740.19,CELF2,9
ENSG00000048828.17,FAM120A,1
ENSG00000049167.16,ERCC8,3
ENSG00000049245.13,VAMP3,1
ENSG00000049323.16,LTBP1,1
ENSG00000049618.24,ARID1B,12
ENSG00000050393.12,MCUR1,8
ENSG00000050748.18,MAPK9,9
ENSG00000051108.15,HERPUD1,8
ENSG00000051180.17,RAD51,17
ENSG00000051382.9,PIK3CB,12
ENSG00000052723.12,SIKE1,9
ENSG00000052795.13,FNIP2,9
ENSG00000052802.13,MSMO1,12
ENSG00000053372.5,MRTO4,6
