transcript_id,transcript_name,gene_id,gene_name,ensembl_id,utr_rank,utr_rank_expr,utr_wt,mui,is_su,is_lu,seqnames,end,strand
ENST00000367770.5,SCYL3-201,ENSG00000000457.14,SCYL3,ENSG00000000457,1,1,0,0.7877575273108278,TRUE,FALSE,chr1,169853073,-
ENST00000367771.11,SCYL3-202,ENSG00000000457.14,SCYL3,ENSG00000000457,2,2,1,0.21224247268917223,FALSE,TRUE,chr1,169849630,-
ENST00000513939.6,GCLC-207,ENSG00000001084.13,GCLC,ENSG00000001084,2,1,0,0.15631031164022485,FALSE,FALSE,chr6,53498755,-
ENST00000616923.5-UTR-884,GCLC-212-UTR-884,ENSG00000001084.13,GCLC,ENSG00000001084,5,2,0.5,0.3342879638340338,TRUE,FALSE,chr6,53498267,-
ENST00000509541.5,GCLC-205,ENSG00000001084.13,GCLC,ENSG00000001084,9,3,1,0.5094017245257413,FALSE,TRUE,chr6,53497340,-
ENST00000353205.5,NFYA-202,ENSG00000001167.15,NFYA,ENSG00000001167,1,1,0,0.23673502887768844,TRUE,FALSE,chr6,41097950,+
ENST00000341376.11-UTR-3408,NFYA-201-UTR-3408,ENSG00000001167.15,NFYA,ENSG00000001167,2,2,0.3333333333333333,0.16114764914592444,FALSE,FALSE,chr6,41098995,+
ENST00000341376.11-UTR-2437,NFYA-201-UTR-2437,ENSG00000001167.15,NFYA,ENSG00000001167,3,3,0.6666666666666666,0.4491486115387356,FALSE,TRUE,chr6,41099966,+
ENST00000341376.11,NFYA-201,ENSG00000001167.15,NFYA,ENSG00000001167,4,4,1,0.15296871043765153,FALSE,FALSE,chr6,41102403,+
ENST00000691309.1-UTR-225,CYP51A1-205-UTR-225,ENSG00000001630.18,CYP51A1,ENSG00000001630,5,1,0,0.4472049689440994,TRUE,FALSE,chr7,92085211,-
ENST00000691309.1,CYP51A1-205,ENSG00000001630.18,CYP51A1,ENSG00000001630,6,2,1,0.5527950310559007,FALSE,TRUE,chr7,92084986,-
ENST00000412043.6,KRIT1-205,ENSG00000001631.17,KRIT1,ENSG00000001631,2,1,0,0.8971373009957894,TRUE,FALSE,chr7,92200357,-
ENST00000692807.1,KRIT1-269,ENSG00000001631.17,KRIT1,ENSG00000001631,6,2,1,0.10172406127049975,FALSE,TRUE,chr7,92199288,-
ENST00000430095.6,RAD52-204,ENSG00000002016.18,RAD52,ENSG00000002016,5,1,0,0.1227067417513187,FALSE,FALSE,chr12,912544,-
ENST00000358495.8,RAD52-202,ENSG00000002016.18,RAD52,ENSG00000002016,7,2,0.5,0.2615714913202136,TRUE,FALSE,chr12,911735,-
ENST00000358495.8-UTR+713,RAD52-202-UTR+713,ENSG00000002016.18,RAD52,ENSG00000002016,8,3,1,0.38626135101149295,FALSE,TRUE,chr12,911022,-
ENST00000469946.5,KLHL13-206,ENSG00000003096.14,KLHL13,ENSG00000003096,1,1,0,0.12530578708409568,TRUE,FALSE,chrX,117898571,-
ENST00000371882.5,KLHL13-204,ENSG00000003096.14,KLHL13,ENSG00000003096,3,2,1,0.8746942129159043,FALSE,TRUE,chrX,117897812,-
ENST00000341582.10,CFLAR-203,ENSG00000003402.21,CFLAR,ENSG00000003402,14,1,0,0.18102249594208322,TRUE,FALSE,chr2,201164279,+
ENST00000309955.8-UTR-10735,CFLAR-201-UTR-10735,ENSG00000003402.21,CFLAR,ENSG00000003402,16,2,0.2,0.17427082419082304,FALSE,TRUE,chr2,201165952,+
ENST00000309955.8-UTR-9492,CFLAR-201-UTR-9492,ENSG00000003402.21,CFLAR,ENSG00000003402,17,3,0.4,0.11862144507953902,FALSE,FALSE,chr2,201167195,+
ENST00000309955.8-UTR-9181,CFLAR-201-UTR-9181,ENSG00000003402.21,CFLAR,ENSG00000003402,18,4,0.6,0.11809569159318917,FALSE,FALSE,chr2,201167506,+
ENST00000309955.8-UTR-8418,CFLAR-201-UTR-8418,ENSG00000003402.21,CFLAR,ENSG00000003402,19,5,0.8,0.15013575436419274,FALSE,FALSE,chr2,201168269,+
ENST00000309955.8-UTR-4955,CFLAR-201-UTR-4955,ENSG00000003402.21,CFLAR,ENSG00000003402,23,6,1,0.14263307117328197,FALSE,FALSE,chr2,201171732,+
ENST00000233156.9-UTR-2256,TFPI-201-UTR-2256,ENSG00000003436.16,TFPI,ENSG00000003436,10,1,0,0.5786963215115,TRUE,FALSE,chr2,187466485,-
ENST00000233156.9,TFPI-201,ENSG00000003436.16,TFPI,ENSG00000003436,14,2,1,0.3804512646202991,FALSE,TRUE,chr2,187464229,-
ENST00000180173.10-UTR-1240,MTMR7-201-UTR-1240,ENSG00000003987.14,MTMR7,ENSG00000003987,2,1,0,0.1064198958935801,TRUE,FALSE,chr8,17298033,-
ENST00000180173.10,MTMR7-201,ENSG00000003987.14,MTMR7,ENSG00000003987,3,2,1,0.89358010410642,FALSE,TRUE,chr8,17296793,-
ENST00000004531.14-UTR-5117,SLC7A2-201-UTR-5117,ENSG00000003989.18,SLC7A2,ENSG00000003989,3,1,0,0.3678373382624769,TRUE,FALSE,chr8,17565444,+
ENST00000470360.5,SLC7A2-203,ENSG00000003989.18,SLC7A2,ENSG00000003989,9,2,1,0.6321626617375231,FALSE,TRUE,chr8,17570573,+
ENST00000618887.2,POLDIP2-202,ENSG00000004142.12,POLDIP2,ENSG00000004142,2,1,0,0.32027309928167896,TRUE,FALSE,chr17,28347660,-
ENST00000540200.6-UTR-547,POLDIP2-201-UTR-547,ENSG00000004142.12,POLDIP2,ENSG00000004142,3,2,1,0.6211080483584077,FALSE,TRUE,chr17,28347179,-
ENST00000548033.5,AK2-210,ENSG00000004455.17,AK2,ENSG00000004455,8,1,0,0.1007820142487536,FALSE,FALSE,chr1,33010477,-
ENST00000354858.11-UTR-1028,AK2-201-UTR-1028,ENSG00000004455.17,AK2,ENSG00000004455,10,2,0.3333333333333333,0.5215520559441127,TRUE,FALSE,chr1,33009919,-
ENST00000354858.11,AK2-201,ENSG00000004455.17,AK2,ENSG00000004455,11,3,0.6666666666666666,0.18810838204943078,FALSE,TRUE,chr1,33008891,-
ENST00000629371.2-UTR+1381,AK2-215-UTR+1381,ENSG00000004455.17,AK2,ENSG00000004455,14,4,1,0.1240132031366469,FALSE,FALSE,chr1,33006558,-
ENST00000226279.8-UTR-2904,CD38-201-UTR-2904,ENSG00000004468.13,CD38,ENSG00000004468,7,1,0,0.5600809701765956,TRUE,FALSE,chr4,15850328,+
ENST00000226279.8,CD38-201,ENSG00000004468.13,CD38,ENSG00000004468,9,2,1,0.4399190298234044,FALSE,TRUE,chr4,15853232,+
ENST00000421138.6-UTR-346,RECQL-203-UTR-346,ENSG00000004700.16,RECQL,ENSG00000004700,1,1,0,0.23425226452763226,TRUE,FALSE,chr12,21470147,-
ENST00000421138.6,RECQL-203,ENSG00000004700.16,RECQL,ENSG00000004700,2,2,0.5,0.22298800012009046,FALSE,FALSE,chr12,21469801,-
ENST00000444129.7-UTR+97,RECQL-204-UTR+97,ENSG00000004700.16,RECQL,ENSG00000004700,4,3,1,0.5379858950421649,FALSE,TRUE,chr12,21468812,-
ENST00000544910.5-UTR-1592,VPS50-220-UTR-1592,ENSG00000004766.17,VPS50,ENSG00000004766,4,1,0,0.7379813742763655,TRUE,FALSE,chr7,93359529,+
ENST00000305866.10,VPS50-202,ENSG00000004766.17,VPS50,ENSG00000004766,6,2,1,0.26201862572363455,FALSE,TRUE,chr7,93361123,+
ENST00000066544.8-UTR-2500,CDC27-201-UTR-2500,ENSG00000004897.12,CDC27,ENSG00000004897,5,1,0,0.49225377201127624,TRUE,FALSE,chr17,47120202,-
ENST00000066544.8-UTR-243,CDC27-201-UTR-243,ENSG00000004897.12,CDC27,ENSG00000004897,7,2,0.5,0.3126989523242285,FALSE,TRUE,chr17,47117945,-
ENST00000066544.8,CDC27-201,ENSG00000004897.12,CDC27,ENSG00000004897,8,3,1,0.11839429062994325,FALSE,FALSE,chr17,47117702,-
ENST00000599848.5-UTR-1613,UPF1-207-UTR-1613,ENSG00000005007.13,UPF1,ENSG00000005007,1,1,0,0.41094985923687116,TRUE,FALSE,chr19,18866616,+
ENST00000262803.10,UPF1-201,ENSG00000005007.13,UPF1,ENSG00000005007,3,2,1,0.5890501407631288,FALSE,TRUE,chr19,18868230,+
ENST00000345317.7-UTR-2331,SKAP2-201-UTR-2331,ENSG00000005020.13,SKAP2,ENSG00000005020,1,1,0,0.1913974561941782,TRUE,FALSE,chr7,26669398,-
ENST00000345317.7-UTR+64,SKAP2-201-UTR+64,ENSG00000005020.13,SKAP2,ENSG00000005020,3,2,1,0.8086025438058217,FALSE,TRUE,chr7,26667003,-
ENST00000378526.9-UTR-4680,LIG3-202-UTR-4680,ENSG00000005156.12,LIG3,ENSG00000005156,2,1,0,0.3539305216279413,TRUE,FALSE,chr17,35005063,+
ENST00000378526.9-UTR-500,LIG3-202-UTR-500,ENSG00000005156.12,LIG3,ENSG00000005156,3,2,0.5,0.4260184684715213,FALSE,TRUE,chr17,35009243,+
ENST00000378526.9,LIG3-202,ENSG00000005156.12,LIG3,ENSG00000005156,5,3,1,0.2200510099005374,FALSE,FALSE,chr17,35009743,+
ENST00000432584.7,RPAP3-203,ENSG00000005175.10,RPAP3,ENSG00000005175,2,1,0,0.7205237840708476,TRUE,FALSE,chr12,47663291,-
ENST00000005386.8-UTR-688,RPAP3-201-UTR-688,ENSG00000005175.10,RPAP3,ENSG00000005175,3,2,0.5,0.1485786015706271,FALSE,TRUE,chr12,47661936,-
ENST00000005386.8-UTR+621,RPAP3-201-UTR+621,ENSG00000005175.10,RPAP3,ENSG00000005175,5,3,1,0.11807346068666304,FALSE,FALSE,chr12,47660627,-
ENST00000568940.5,CIAPIN1-211,ENSG00000005194.15,CIAPIN1,ENSG00000005194,2,1,0,0.14506081144995236,FALSE,FALSE,chr16,57428937,-
ENST00000569370.5,CIAPIN1-213,ENSG00000005194.15,CIAPIN1,ENSG00000005194,3,2,0.5,0.6501383807940792,TRUE,FALSE,chr16,57428553,-
ENST00000394391.9,CIAPIN1-201,ENSG00000005194.15,CIAPIN1,ENSG00000005194,5,3,1,0.20480080775596846,FALSE,TRUE,chr16,57428186,-
ENST00000610743.4,SPPL2B-207,ENSG00000005206.17,SPPL2B,ENSG00000005206,3,1,0,0.8497658981931601,TRUE,FALSE,chr19,2353933,+
ENST00000613503.5-UTR-297,SPPL2B-209-UTR-297,ENSG00000005206.17,SPPL2B,ENSG00000005206,4,2,1,0.14084485192046714,FALSE,TRUE,chr19,2354798,+
ENST00000265717.5-UTR-1902,PRKAR2B-201-UTR-1902,ENSG00000005249.13,PRKAR2B,ENSG00000005249,2,1,0,0.2649409532073044,TRUE,FALSE,chr7,107159909,+
ENST00000265717.5-UTR-313,PRKAR2B-201-UTR-313,ENSG00000005249.13,PRKAR2B,ENSG00000005249,4,2,1,0.6444048308228967,FALSE,TRUE,chr7,107161498,+
ENST00000262367.10-UTR-1513,CREBBP-201-UTR-1513,ENSG00000005339.15,CREBBP,ENSG00000005339,8,1,0,0.804229585411003,TRUE,FALSE,chr16,3726566,-
ENST00000262367.10,CREBBP-201,ENSG00000005339.15,CREBBP,ENSG00000005339,9,2,1,0.1533077296055789,FALSE,TRUE,chr16,3725053,-
ENST00000293894.4-UTR-938,SOX8-201-UTR-938,ENSG00000005513.10,SOX8,ENSG00000005513,1,1,0,0.3133004926108374,TRUE,FALSE,chr16,986041,+
ENST00000293894.4,SOX8-201,ENSG00000005513.10,SOX8,ENSG00000005513,2,2,1,0.6866995073891626,FALSE,TRUE,chr16,986979,+
ENST00000610980.4-UTR-1000,IBTK-210-UTR-1000,ENSG00000005700.15,IBTK,ENSG00000005700,3,1,0,0.2355728319915378,TRUE,FALSE,chr6,82171238,-
ENST00000610980.4,IBTK-210,ENSG00000005700.15,IBTK,ENSG00000005700,4,2,1,0.699137829004255,FALSE,TRUE,chr6,82170238,-
ENST00000429715.1,MYCBP2-202,ENSG00000005810.19,MYCBP2,ENSG00000005810,1,1,0,0.48291361560872836,TRUE,FALSE,chr13,77044901,-
ENST00000357337.11,MYCBP2-201,ENSG00000005810.19,MYCBP2,ENSG00000005810,2,2,1,0.5160998792757093,FALSE,TRUE,chr13,77044656,-
ENST00000007708.7,PDK2-201,ENSG00000005882.12,PDK2,ENSG00000005882,1,1,0,0.7962472669449414,TRUE,FALSE,chr17,50111058,+
ENST00000614357.4,PDK2-216,ENSG00000005882.12,PDK2,ENSG00000005882,2,2,1,0.20375273305505864,FALSE,TRUE,chr17,50111368,+
