target_gene,target_gene_id,sgID_AB,cluster_id
AAAS,ENSG00000094914,AAAS_-_53715438.23-P1P2|AAAS_+_53715355.23-P1P2,15
AAMP,ENSG00000127837,AAMP_+_219134851.23-P1P2|AAMP_+_219134841.23-P1P2,23
AARS,ENSG00000090861,AARS_+_70323362.23-P1P2|AARS_-_70323332.23-P1P2,16
AARS2,ENSG00000124608,AARS2_+_44281027.23-P1P2|AARS2_+_44281044.23-P1P2,15
AASDHPPT,ENSG00000149313,AASDHPPT_+_105948405.23-P1P2|AASDHPPT_+_105948450.23-P1P2,15
AATF,ENSG00000275700,AATF_-_35306286.23-P1P2|AATF_-_35306346.23-P1P2,22
ABCB10,ENSG00000135776,ABCB10_+_229694285.23-P1P2|ABCB10_-_229694297.23-P1P2,21
ABCB7,ENSG00000131269,ABCB7_-_74376019.23-P1P2|ABCB7_+_74375885.23-P1P2,15
ABCE1,ENSG00000164163,ABCE1_-_146019502.23-P1P2|ABCE1_-_146019516.23-P1P2,7
ABCF1,ENSG00000204574,ABCF1_-_30546354.23-P2|ABCF1_-_30546344.23-P2,15
ABCF1,ENSG00000204574,ABCF1_+_30539238.23-P1|ABCF1_+_30539469.23-P1,23
ABCG1,ENSG00000160179,ABCG1_-_43639282.23-P1P2|ABCG1_+_43639503.23-P1P2,15
ABHD11,ENSG00000106077,ABHD11_-_73153094.23-P1P2|ABHD11_+_73152963.23-P1P2,15
ABHD17A,ENSG00000129968,ABHD17A_-_1885483.23-P1P2|ABHD17A_+_1885470.23-P1P2,15
ABT1,ENSG00000146109,ABT1_-_26597263.23-P1P2|ABT1_+_26597412.23-P1P2,15
ACD,ENSG00000102977,ACD_-_67694143.23-P1P2|ACD_+_67694124.23-P1P2,15
ACIN1,ENSG00000100813,ACIN1_-_23540292.23-P2|ACIN1_-_23540730.23-P2,15
ACIN1,ENSG00000100813,ACIN1_-_23564284.23-P1|ACIN1_+_23563962.23-P1,8
ACOT12,ENSG00000172497,ACOT12_-_80689897.23-P1P2|ACOT12_+_80689672.23-P1P2,8
ACTB,ENSG00000075624,ACTB_-_5570191.23-P1P2|ACTB_+_5570130.23-P1P2,15
ACTL6A,ENSG00000136518,ACTL6A_-_179280784.23-P1P2|ACTL6A_+_179280755.23-P1P2,17
ACTR10,ENSG00000131966,ACTR10_+_58666892.23-P1P2|ACTR10_+_58666925.23-P1P2,15
ACTR1A,ENSG00000138107,ACTR1A_+_104262452.23-P1P2|ACTR1A_+_104262449.23-P1P2,15
ACTR1B,ENSG00000115073,ACTR1B_-_98280407.23-P1P2|ACTR1B_+_98280464.23-P1P2,15
ACTR2,ENSG00000138071,ACTR2_-_65454971.23-P1P2|ACTR2_-_65454953.23-P1P2,15
ACTR3,ENSG00000115091,ACTR3_+_114648069.23-P1P2|ACTR3_+_114648124.23-P1P2,15
